game_pk,date,away_team,home_team,venue,day_night,away_runs,home_runs,total_runs,total_hr,weather_raw,wind_raw,season
661135,2022-07-10,Philadelphia Phillies,St. Louis Cardinals,Busch Stadium,day,3,4,7,2,"88 degrees, Sunny.","4 mph, In From RF.",2022
662496,2022-07-10,Miami Marlins,New York Mets,Citi Field,day,2,0,2,0,"81 degrees, Sunny.","6 mph, In From RF.",2022
662700,2022-07-11,Detroit Tigers,Kansas City Royals,Kauffman Stadium,day,1,3,4,1,"93 degrees, Sunny.","6 mph, L To R.",2022
661178,2022-07-10,Pittsburgh Pirates,Milwaukee Brewers,American Family Field,day,8,6,14,5,"81 degrees, Sunny.","8 mph, In From RF.",2022
662198,2022-07-10,San Francisco Giants,San Diego Padres,Petco Park,day,12,0,12,3,"73 degrees, Sunny.","9 mph, L To R.",2022
663232,2022-07-10,New York Yankees,Boston Red Sox,Fenway Park,night,6,11,17,5,"70 degrees, Clear.","9 mph, R To L.",2022
662215,2022-07-10,Houston Astros,Oakland Athletics,Oakland Coliseum,day,6,1,7,2,"76 degrees, Sunny.","8 mph, Out To RF.",2022
661808,2022-07-10,Minnesota Twins,Texas Rangers,Globe Life Field,day,6,5,11,3,"72 degrees, Roof Closed.","0 mph, None.",2022
662183,2022-07-10,Toronto Blue Jays,Seattle Mariners,T-Mobile Park,day,5,6,11,5,"65 degrees, Overcast.","3 mph, Calm.",2022
661324,2022-07-11,Pittsburgh Pirates,Miami Marlins,loanDepot park,night,5,1,6,1,"72 degrees, Roof Closed.","0 mph, None.",2022
662661,2022-07-12,Detroit Tigers,Kansas City Royals,Kauffman Stadium,night,3,7,10,0,"88 degrees, Partly Cloudy.","16 mph, R To L.",2022
662729,2022-07-10,Chicago Cubs,Los Angeles Dodgers,Dodger Stadium,day,9,11,20,4,"84 degrees, Sunny.","10 mph, Out To CF.",2022
661507,2022-07-11,New York Mets,Atlanta Braves,Truist Park,night,4,1,5,2,"80 degrees, Cloudy.","6 mph, In From LF.",2022
662100,2022-07-12,Arizona Diamondbacks,San Francisco Giants,Oracle Park,night,4,3,7,0,"63 degrees, Partly Cloudy.","14 mph, Out To CF.",2022
662956,2022-07-11,Chicago White Sox,Cleveland Guardians,Progressive Field,night,4,8,12,1,"87 degrees, Partly Cloudy.","15 mph, L To R.",2022
663087,2022-07-12,Chicago White Sox,Cleveland Guardians,Progressive Field,day,1,4,5,0,"80 degrees, Sunny.","14 mph, L To R.",2022
662996,2022-07-12,San Diego Padres,Colorado Rockies,Coors Field,night,6,5,11,4,"82 degrees, Partly Cloudy.","7 mph, Out To LF.",2022
661120,2022-07-11,Philadelphia Phillies,St. Louis Cardinals,Busch Stadium,night,1,6,7,3,"99 degrees, Clear.","8 mph, Out To LF.",2022
661262,2022-07-12,Cincinnati Reds,New York Yankees,Yankee Stadium,night,4,3,7,0,"86 degrees, Partly Cloudy.","10 mph, Out To LF.",2022
661506,2022-07-12,New York Mets,Atlanta Braves,Truist Park,night,1,4,5,2,"86 degrees, Cloudy.","8 mph, L To R.",2022
661119,2022-07-12,Los Angeles Dodgers,St. Louis Cardinals,Busch Stadium,night,6,7,13,4,"85 degrees, Clear.","9 mph, In From LF.",2022
661878,2022-07-11,Boston Red Sox,Tampa Bay Rays,Tropicana Field,night,5,10,15,0,"72 degrees, Dome.","0 mph, None.",2022
661877,2022-07-12,Boston Red Sox,Tampa Bay Rays,Tropicana Field,night,2,3,5,0,"72 degrees, Dome.","0 mph, None.",2022
662976,2022-07-12,Chicago White Sox,Cleveland Guardians,Progressive Field,night,7,0,7,3,"79 degrees, Clear.","9 mph, L To R.",2022
663187,2022-07-13,Baltimore Orioles,Chicago Cubs,Wrigley Field,night,4,2,6,3,"77 degrees, Clear.","5 mph, R To L.",2022
661814,2022-07-12,Oakland Athletics,Texas Rangers,Globe Life Field,night,8,10,18,5,"75 degrees, Roof Closed.","0 mph, None.",2022
661377,2022-07-12,Pittsburgh Pirates,Miami Marlins,loanDepot park,night,3,2,5,1,"72 degrees, Dome.","0 mph, None.",2022
661688,2022-07-12,Milwaukee Brewers,Minnesota Twins,Target Field,night,6,3,9,3,"83 degrees, Cloudy.","12 mph, Out To CF.",2022
